1946,73500
1947,70340
1948,96000
1949,59450
1950,53755
1951,57508
1952,53377
1953,56680
1954,55625
1955,54781
1956,59460
1957,61664
1958,58160
1959,60852
1960,60563
1961,63955
1962,66554
1963,66813
1964,69429
1965,67269
1966,67912
1967,71975
1968,73309
1969,71825
1970,74009
1971,73819
1972,76859
1973,77648
1974,76303
1975,80077
1976,81818
1977,83750
1978,81615
1979,82338
1980,87282
1981,86261
1982,86345
1983,90586
1984,88397
1985,92886
1986,91783
1987,95656
1988,92407
1989,92720
1990,94152
1991,95498
1992,98231
1993,97419
1994,97807
1995,100158
1996,100740
1997,99738
1998,102668
1999,103304
2000,105170
2001,102559
2002,103915
2003,105529
2004,104942
2005,105091
2006,105476
2007,109895
2008,107979
2009,108316
2010,109084
2011,111099
2012,116668
2013,111794
2014,113740
2015,121183
2016,118788
2017,124495
2018,120291
2019,124954
2020,131025
2021,143923
2022,142573
